"localminute","dishwasher1","lights_plugs1","drye1","range1","use","furnace1","clotheswasher1","refrigerator1","microwave1","kitchenapp1","kitchenapp2","air1"
2014-06-04 10:40:00,0,9.6,0,0,561.1,140.6,0,0,0,0,0,163.1
2014-06-04 10:50:00,0,9.1,0,0,419.2,68,0,94.7,0,0,0,0
2014-06-04 11:00:00,0,9,0,0,808.8,152.5,0,26.7,0,0,0,377.1
2014-06-04 11:10:00,0,8.9,0,0,681.4,162.4,0,0,0,0,0,262.8
2014-06-04 11:20:00,0,9.5,0,0,327.9,68.2,0,0,0,0,0,0
2014-06-04 11:30:00,0,9.3,0,0,692.3,130,0,28.7,0,0,0,276.6
2014-06-04 11:40:00,0,8.9,0,0,897.3,187.1,0,92.2,0,0,0,363.9
2014-06-04 11:50:00,0,9.7,0,0,330.9,68,0,0,0,0,0,0
2014-06-04 12:00:00,0,9.4,0,0,542.2,106.7,0,0,0,0,0,175.7
2014-06-04 12:10:00,0,9.2,0,0,919.4,210.8,0,0,0,0,0,467.2
2014-06-04 12:20:00,0,9,0,0,382.8,68.2,0,67.1,0,0,0,0
2014-06-04 12:30:00,0,9.2,0,0,363.6,68.6,0,54,0,0,0,0
2014-06-04 12:40:00,0,9.4,0,0,938.2,185.1,0,0,0,0,0,518
2014-06-04 12:50:00,0,9.4,0,0,479,125.7,0,2.2,0,0,0,96.7
2014-06-04 13:00:00,0,9.2,0,0,445,68,0,69.6,0,0,0,0
2014-06-04 13:10:00,0,9.1,0,0,975.5,68.1,0,107.6,0,232.1,304.4,0
2014-06-04 13:20:00,0,8.7,0,0,1710.2,238.3,0,89.9,165.7,191,0,722.7
2014-06-04 13:30:00,0,9,0,0,731.8,94.6,0,1.2,96.4,257.1,0,0
2014-06-04 13:40:00,0,9.2,0,0,1066.3,169.3,0,0.7,163.1,0,0,455.4
2014-06-04 13:50:00,0,8.6,0,0,866.1,172.7,0,96.2,6.9,0,0,305.2
2014-06-04 14:00:00,0,8,0,0,503.2,69,0,103.1,0,0,0,0
2014-06-04 14:10:00,0,7.3,0,0,1353,273.2,0,10.1,0,0,0,770.2
2014-06-04 14:20:00,0,7.7,0,0,335.3,69,0,0,0,0,0,0
2014-06-04 14:30:00,0,9.5,0,0,1344.6,246.5,0,0,0,0,0,814
2014-06-04 14:40:00,0,14.2,0,0,428.6,103.1,0,19.6,0,0,0,0
2014-06-04 14:50:00,0,15.3,0,0,1346.8,231.5,0,103.1,0,0,0,743.2
2014-06-04 15:00:00,0,25.8,0,0,570.9,126.5,0,20.9,0,0,0,100.4
2014-06-04 15:10:00,0,76.5,0,0,1267,224.6,0,0,0,0,0,717.9
2014-06-04 15:20:00,0,8,0,0,581.4,142,0,0,0,0,0,176.4
2014-06-04 15:30:00,0,7.2,0,0,361.3,69.2,0,27.3,0,0,0,0
2014-06-04 15:40:00,0,7,0,0,1357,240.9,0,102,0,0,0,760.8
2014-06-04 15:50:00,0,8.4,0,0,369.7,95.9,0,6.9,0,0,0,0
2014-06-04 16:00:00,0,7,0,0,786.9,147,0,0,0,0,0,375.1
2014-06-04 16:10:00,0,7,0,0,851.7,189.8,0,0,0,0,0,401.8
2014-06-04 16:20:00,0,7,0,0,388.3,69,0,53,0,0,0,0
2014-06-04 16:30:00,0,7,0,0,1641.6,288.2,0,78.4,0,0,0,1000.5
2014-06-04 16:40:00,0,7.1,0,0.4,595,96.1,0,0.9,143.1,0,0,8.7
2014-06-04 16:50:00,0,8.2,0,0,1727.2,303,0,1,0,0,0,1002.9
2014-06-04 17:00:00,0,7,0,2288.9,2862.2,80,0,76.2,0,0,0,8.7
2014-06-04 17:10:00,0,7.5,0,825.3,2766.1,303.3,0,109.1,0,0,0,1122
2014-06-04 17:20:00,0,5.4,0,1590.8,3180.4,259.7,0,105.2,0,0,0,740.8
2014-06-04 17:30:00,0,6,0,1168.3,2664,214.4,0,88.6,0.7,0,0,707.8
2014-06-04 17:40:00,0,6,0,1125.9,3035.8,303.1,0,0,0,0,0,1134.6
2014-06-04 17:50:00,0,6.5,0,1315.4,3268.5,302.8,0,0,0,0,0,1147.6
2014-06-04 18:00:00,0,5.6,0,1490.5,3422.3,301.9,0,0.4,0,0,0,1136.6
2014-06-04 18:10:00,0,5.7,0,1100.6,3075.8,301.1,0,43.2,0,0,0,1160.4
2014-06-04 18:20:00,0,5.4,0,1371.6,3491,301.1,0,108.9,0,159.1,0,1153.8
2014-06-04 18:30:00,0,5.7,0,1445.9,3437.3,301.3,0,100.1,0,98.4,0,1154.3
2014-06-04 18:40:00,0,5.4,0,1814.4,3787.4,300.8,0,98.7,43.2,0,0,1149.3
2014-06-04 18:50:00,0,7.1,0,0,2018.4,300.8,0,5.5,147.7,0,0,1159
2014-06-04 19:00:00,0,58.7,0,0,2090.3,300.9,0,1.8,160.3,0,0,1174.3
2014-06-04 19:10:00,40.6,8.3,0,0,2010,300.7,0,32.5,59.9,0,0,1162.1
2014-06-04 19:20:00,341.4,7.1,0,0,2427.3,300.5,0,99.5,0,0,0,1181
2014-06-04 19:30:00,94.6,7,0,0,2135.2,300,0,34.5,0,0,0,1185.5
2014-06-04 19:40:00,665.6,7,0,0,2582.8,300.2,0,0,0,0,0,1185.9
2014-06-04 19:50:00,683.5,7.7,0,0,2430.2,299.8,0,2.1,0,0,0,1173.7
2014-06-04 20:00:00,682.5,8.9,0,0,2456.5,300.2,0,62.8,0,0,0,1180.4
2014-06-04 20:10:00,449.4,8.9,0,0,2252,301.1,0,97.1,0,0,0,1172.3
2014-06-04 20:20:00,151.5,8.9,0,0,1887.8,300.7,0,12.9,0,0,0,1184.8
2014-06-04 20:30:00,155.5,8.9,0,0,1872.7,301.6,0,0,0,0,0,1176.3
2014-06-04 20:40:00,3.8,8.5,0,0,1647.5,302.6,0,0,0,0,0,1190.9
2014-06-04 20:50:00,0,8.2,0,0,1637.6,302.5,0,32.5,0,0,0,1194.5
2014-06-04 21:00:00,0,8.5,0,0,1780.4,302,0,100.2,0,0,0,1208.3
2014-06-04 21:10:00,2.1,8.3,0,0,2476.6,301.8,0,98.4,328,282.7,0,1216.6
2014-06-04 21:20:00,1.8,8.5,0,0,1856.3,301.3,0,90.1,0,0,0,1199.6
2014-06-04 21:30:00,0,9.3,0,0,1055.2,220.1,0,0,0,0,0,596.8
2014-06-04 21:40:00,0,9.1,0,0,1268.5,223.1,0,0,0,0,0,794.2
2014-06-04 21:50:00,0,8.7,0,0,1769.3,301.1,0,0,0,0,0,1189.8
2014-06-04 22:00:00,0,7,0,0,1498.1,274.4,0,44.9,0,0,0,873.9
2014-06-04 22:10:00,0,7,0,0,1363.5,208.2,0,96.6,0,0,0,727.3
2014-06-04 22:20:00,0,7.1,0,0,1877.4,301.8,0,46.2,0,0,0,1198.5
2014-06-04 22:30:00,0,7,0,0,1220.8,235.3,0,0,0,0,0,677.3
2014-06-04 22:40:00,0,7.1,0,0,1402.7,238.7,0,0,0,0,0,879.3
2014-06-04 22:50:00,0,7.1,0,0,1760.2,301.4,0,0,0,0,0,1176.4
2014-06-04 23:00:00,0,7.2,0,0,909.5,172.1,0,95.3,0,0,0,354.8
2014-06-04 23:10:00,0,8.8,0,0,1855,301.3,0,86.5,0,0,0,1179.8
2014-06-04 23:20:00,0,9,0,0,1353,266.8,0,0,0,0,0,821.9
2014-06-04 23:30:00,0,8.6,0,0,1110.1,199.7,0,3.1,0,0,1.2,677.5
2014-06-04 23:40:00,0,7.2,0,0,1785.8,302.1,0,42.3,0,104.4,6,1177.9
2014-06-04 23:50:00,0,7.3,0,0,927.3,157,0,98.9,0,233.6,4.7,282.8
2014-06-05 00:00:00,0,7.4,0,0,1728.9,302.4,0,97.5,0,0,4.9,1179.8
2014-06-05 00:10:00,0,7,0,0,1714.2,303.5,0,83.5,0,0,4.3,1178
2014-06-05 00:20:00,0,7,0,0,568.5,150.6,0,1,0,0,1.3,230
2014-06-05 00:30:00,0,7,0,0,1442.3,264,0,0,0,0,0,978.5
2014-06-05 00:40:00,0,7,0,0,1468.6,299.6,0,0,0,0,0,965.9
2014-06-05 00:50:00,0,7,0,0,723,138.6,0,22,0,0,0,353.6
2014-06-05 01:00:00,0,7.6,0,0,1786.2,302.9,0,101.5,0,0,0,1149.6
2014-06-05 01:10:00,0,7.6,0,0,909.5,165.5,0,97.1,32.2,0,0,308
2014-06-05 01:20:00,0,6.5,0,0.3,2364.9,302.8,0,301.6,338.8,0,0,1140.1
2014-06-05 01:30:00,0,6,0,0,1944,302.6,0,381.7,0,0,0,979.5
2014-06-05 01:40:00,0,7.3,0,0.3,1217.3,173,0,77.9,181.9,0,0,496.6
2014-06-05 01:50:00,0,7.3,0,0,1755.3,301.2,0,70.6,0,0,0,1126.8
2014-06-05 02:00:00,0,8.8,0,0,967.1,196.9,0,110.5,0,0,0,446.4
2014-06-05 02:10:00,0,8.8,0,0,1630.3,277.5,0,105.5,0,0,0,1010.9
2014-06-05 02:20:00,0,8.8,0,0,1692.9,300.7,0,94.1,0,0,0,1032.9
2014-06-05 02:30:00,0,9.3,0,0,1044.1,172.2,0,0,0,0,0,412.6
2014-06-05 02:40:00,0,9.1,0,0,1251.6,226.7,0,0,0,0,0,585.8
2014-06-05 02:50:00,0,9.3,0,0,1293.3,208.2,0,0,0,0,0,668.7
2014-06-05 03:00:00,0,8.9,0,0,934.8,181,0,91.3,0,0,0,363.3
2014-06-05 03:10:00,0,9,0,0,644.4,114.9,0,69.4,0,0,0,225.2
2014-06-05 03:20:00,0,8.9,0,0,1440.3,298.3,0,0,0,0,0,908.6
2014-06-05 03:30:00,0,9.7,0,0,318.2,69,0,0,0,0,0,0
2014-06-05 03:40:00,0,9.3,0,0,1026.3,192.8,0,4.6,0,0,0,584.9
2014-06-05 03:50:00,0,8.9,0,0,1019.5,204.8,0,105.8,0,0,0,465.3
2014-06-05 04:00:00,0,9.5,0,0,353,69,0,33,0,0,0,0
2014-06-05 04:10:00,0,9,0,0,1449.5,269.8,0,0,0,0,0,932.8
2014-06-05 04:20:00,0,9.1,0,0,352.3,102.6,0,0,0,0,0,0
2014-06-05 04:30:00,0,9,0,0,624.4,113.8,0,43.9,0,0,0,219.2
2014-06-05 04:40:00,0,9,0,0,1085,218.5,0,88,0,0,0,527.3
2014-06-05 04:50:00,0,9.1,0,0,328.3,68,0,0,0,0,0,0
2014-06-05 05:00:00,0,9.2,0,0,460.9,91.2,0,0,0,0,0,110.9
2014-06-05 05:10:00,0,9.1,0,0,1038.7,226.1,0,0,0,0,0,559.7
2014-06-05 05:20:00,0,8.9,0,0,417.9,68.2,0,90,0,0,0,0
2014-06-05 05:30:00,0,8.9,0,0,1091,199.1,0,37.7,0,0,0,600.8
2014-06-05 05:40:00,0,9.1,0,0,699.5,164.4,0,0,0,0,0,276
2014-06-05 05:50:00,0,9.3,0,0,330.8,68,0,0,0,0,0,0
2014-06-05 06:00:00,0,9.2,0,0,990.2,183.2,0,27.9,0,0,0,523.8
2014-06-05 06:10:00,0,9.1,0,0,709.5,150,0,96.9,0,0,0,204.9
2014-06-05 06:20:00,0,9.9,0,0,332.9,69,0,0,0,0,0,0
2014-06-05 06:30:00,0,9.3,0,0,878.8,168.9,0,0,0,0,0,453.5
2014-06-05 06:40:00,0,9.4,0,0,612.1,150.1,0,0,0,0,0,203.1
2014-06-05 06:50:00,0,9.2,0,0,405.5,69,0,76.6,0,0,0,0
2014-06-05 07:00:00,0,9.4,0,0,673.3,122.7,0,49.2,0,0,0,244.9
2014-06-05 07:10:00,0,9.4,0,0,858.3,197,0,0,0,0,0,406.5
2014-06-05 07:20:00,0,9.8,0,0,330.4,69,0,0,0,0,0,0
2014-06-05 07:30:00,0,9.5,0,0,468.2,91.1,0,12.8,0,0,0,106
2014-06-05 07:40:00,0,8.9,0,0,1120.2,227.3,0,104.1,0,0,0,539.1
2014-06-05 07:50:00,0,9.7,0,0,336.8,69,0,7.6,0,0,0,0
2014-06-05 08:00:00,0,9.7,0,0,328.8,69,0,0,0,0,0,0
2014-06-05 08:10:00,0,9.1,0,0,1145.6,249.9,0,0,0,0,0,645.4
2014-06-05 08:20:00,0,9.2,0,0,383.2,69,0,55.4,0,0,0,0
2014-06-05 08:30:00,0,9.2,0,0,395.5,69,0,68.8,0,0,0,0
2014-06-05 08:40:00,0,9,0,0,1119.3,222.9,0,0,0,0,0,646.9
2014-06-05 08:50:00,0,9.4,0,0,354.3,95.9,0,0,0,0,0,0
2014-06-05 09:00:00,0,9.5,0,0,328.6,69,0,0,0,0,0,0
2014-06-05 09:10:00,0,8.9,0,0,630.8,107,0,94,0,0,0,175.7
2014-06-05 09:20:00,0,9.3,0,0,924.7,204.1,0,28.9,0,0,0,440.3
2014-06-05 09:30:00,0,9.6,0,0,327.6,69,0,0,0,0,0,0
2014-06-05 09:40:00,0,9.4,0,0,326.9,69,0,0,0,0,0,0
2014-06-05 09:50:00,0,9,0,0,1134.1,242.2,0,26.2,0,0,0,618.4
2014-06-05 10:00:00,0,9,0,0,419.7,68.8,0,96.5,0,0,0,0
2014-06-05 10:10:00,0,9.3,0,0,325.7,69,0,0,0,0,0,0
2014-06-05 10:20:00,0,9.2,0,0,869.2,169.1,0,0,0,0,0,450.8
2014-06-05 10:30:00,0,9.5,0,0,566.4,142.6,0,0,0,0,0,168.6
2014-06-05 10:40:00,0,9.3,0,0,386.2,69,0,61.8,0,0,0,0
2014-06-05 10:50:00,0,9.1,0,0,473.2,83.7,0,61.1,0,0,0,74.1
2014-06-05 11:00:00,0,9,0,0,1023.8,227.4,0,0,0,0,0,547.2
2014-06-05 11:10:00,0,9.1,0,0,324.8,68.2,0,0,0,0,0,0
2014-06-05 11:20:00,0,8.9,0,0,325.3,68.7,0,0,0,0,0,0
2014-06-05 11:30:00,0,8.9,0,0,1189.2,229.1,0,93.9,0,0,0,620.9
2014-06-05 11:40:00,0,9.1,0,0,362.7,79.9,0,28.4,0,0,0,0
2014-06-05 11:50:00,0,9.3,0,0,310,68.8,0,0,0,0,0,0
2014-06-05 12:00:00,0,9.1,0,0,750.4,146,0,0,0,0,0,350.4
2014-06-05 12:10:00,0,9,0,0,749.8,165.3,0,20.9,0,0,0,273
2014-06-05 12:20:00,0,9,0,0,479.4,69,0,100.8,0,0,0,0
2014-06-05 12:30:00,0,9.3,0,0,382,69,0,0,0,0,0,0
2014-06-05 12:40:00,0,8.9,0,0,1144.9,237.2,0,0,0,0,0,604.4
2014-06-05 12:50:00,0,9.5,0,0,381.2,68.9,0,0,0,0,0,0
2014-06-05 13:00:00,0,9.1,0,0,431.2,69,0,51.5,0,0,0,0
2014-06-05 13:10:00,0,9,0,0,1184.8,207.4,0,72,0,0,0,628.4
2014-06-05 13:20:00,0,9.3,0,0,477.7,103.7,0,3.9,0,74,0,0
2014-06-05 13:30:00,0,9,0,0,642.2,69.1,0,55.1,0,174,55.8,0
2014-06-05 13:40:00,0,7.5,0,2.8,2611.5,270.4,0,107.2,0,0,1047.9,919.7
2014-06-05 13:50:00,0,7.5,0,0.7,879.3,111.1,0,105.8,0,0,364,33
2014-06-05 14:00:00,0,5.6,0,1.1,1448.7,153.7,0,105.5,48.1,0.3,527.4,391.8
2014-06-05 14:10:00,0,7.2,0,0.9,1369.7,196.4,0,104.9,39.8,0.3,377.8,420.1
2014-06-05 14:20:00,0,6.5,0,1.6,1662.4,199.7,0,18.7,0,0.6,584,609.1
2014-06-05 14:30:00,0,5.9,0,1.6,2061.5,243.2,0,0,0,1.1,893.6,638.5
2014-06-05 14:40:00,0,7.5,0,0,621.6,130.1,0,1.2,0,0,0,290.3
2014-06-05 14:50:00,0,7,0,0,1632.1,302.1,0,99.5,0,0,0,1033.3
2014-06-05 15:00:00,0,7,0,0,358.5,96,0,58.6,0,0,0,0
2014-06-05 15:10:00,0,7,0,0,1195.2,230.6,0,1,0,0,0,755.7
2014-06-05 15:20:00,0,7,0,0,751.3,172.7,0,13.7,0,0,0,320.2
2014-06-05 15:30:00,0,7,0,0,1527.4,238,0,107.7,155.5,0,0,795.9
2014-06-05 15:40:00,0,7.2,0,0,889.1,180.6,0,109.7,0,0,0,356.9
2014-06-05 15:50:00,0,57.4,0,0,1311.7,239.2,0,94.5,0,0,0,800.4
2014-06-05 16:00:00,0,27,0,0,1006.5,227.7,0,0,0,0,0,576.9
2014-06-05 16:10:00,0,7,0,0,1053.2,207,0,0,0,0,0,661.5
2014-06-05 16:20:00,0,7.1,0,0,907.8,211.5,0,0,0,0,0,514.2
2014-06-05 16:30:00,0,7,0,0,724,137.6,0,75.4,0,0,0,335.7
2014-06-05 16:40:00,0,7,0,0,1253.5,258.4,0,86,0,0,0,730.6
2014-06-05 16:50:00,0,7.2,0,0,678.7,137.9,0,0,0,0,0,335.5
2014-06-05 17:00:00,0,7,0,0,1116.8,259.3,0,0,0,0,0,736.4
2014-06-05 17:10:00,0,7.8,0,0,758.5,137,0,24.4,0,117.3,3.6,336.4
2014-06-05 17:20:00,0,7.1,0,0,1365.9,258.4,0,107.1,0,118.6,4.5,739.4
2014-06-05 17:30:00,0,59.6,0,0.3,1018.7,137.2,0,80,163.7,0,0,344.2
2014-06-05 17:40:00,0,59.5,0,0,1303.9,258.6,0,0.6,0,0,0,753.4
2014-06-05 17:50:00,0,14.2,0,0,1260.8,231.3,0,0,0,0,0,800.5
2014-06-05 18:00:00,0,7,0,0,1249.5,243.6,0,63.3,0,0,0,684.9
2014-06-05 18:10:00,0,7,0,0,656.5,106.2,0,92.8,0,0,0,198
2014-06-05 18:20:00,0,7.2,0,0,1710.1,301.6,0,0,0,0,0,1161.8
2014-06-05 18:30:00,0,7,0,0,496.2,118.8,0,1.5,0,0,0,75.7
2014-06-05 18:40:00,0,7.2,0,0.3,1890.6,284.6,0,85.4,136.6,0,0,1077.6
2014-06-05 18:50:00,0,7.3,0,0,1689.6,300.7,0,105.7,22.9,0,0,1036.9
2014-06-05 19:00:00,0,7.8,0,0,946.7,164.1,0,54.9,0,0,0,437.1
2014-06-05 19:10:00,0,7.9,0,0,1652.2,300.5,0,0,0,0,0,1180.5
2014-06-05 19:20:00,0,63.7,0,0,1656.4,300.5,0,0,0,0,0,1174.7
2014-06-05 19:30:00,0,56.6,0,0,1388.4,280.8,0,44.9,0,0,0,906.9
2014-06-05 19:40:00,0,35.7,0,0,1104.5,198.2,0,103.8,0,0,0,681.9
2014-06-05 19:50:00,0,7.1,0,0,1610.8,299.8,0,31.8,0,0,0,1191.5
2014-06-05 20:00:00,0,7,0,0,1049.3,240.8,0,0,0,0,0,716.1
2014-06-05 20:10:00,0,7,0,0,979.4,198.1,0,0,0,0,0,688
2014-06-05 20:20:00,0,7.1,0,0,1658.1,299.3,0,65.4,0,0,0,1206.6
2014-06-05 20:30:00,0,7,0,0,730.9,170.5,0,102.6,0,0,0,364.1
2014-06-05 20:40:00,0,7,0,0,1596.1,298.7,0,1.2,0,0,0,1209.1
2014-06-05 20:50:00,0,59.1,0,0,1072.6,234.8,0,0,0,0,0,685.7
2014-06-05 21:00:00,0,24.8,0,0,2029.1,236.6,0,14.6,325.9,286.3,0,893.6
2014-06-05 21:10:00,0,7.3,0,0,1854.4,299.8,0,105,0,0,0,1202.5
2014-06-05 21:20:00,0,7,0,0,871.8,171.2,0,46.1,0,0,0,366.5
2014-06-05 21:30:00,0,7,0,0,1784.3,301.4,0,0,0,0,0,1198.6
2014-06-05 21:40:00,0,7.1,0,0,953.2,197.1,0,0,0,0,0,475.5
2014-06-05 21:50:00,0,7,0,0,1671.4,277.7,0,43.6,0,0,0,1075.7
2014-06-05 22:00:00,0,7,0,0,1677,298,0,103.1,0,0,0,990.1
2014-06-05 22:10:00,0,8.5,0,0,1046.3,176.3,0,11.2,0,0,0,566.6
2014-06-05 22:20:00,0,9,0,0,1816.1,302,0,0,0,0,0,1189.8
2014-06-05 22:30:00,0,9.4,0,0,957.7,172.4,0,0,0,0,0,358.8
2014-06-05 22:40:00,0,17.1,0,0,2035.7,302.7,0,83.3,0,0,0,1198.9
2014-06-05 22:50:00,0,51.4,0,0,2161.4,304,0,69.2,0,0,0,1195.1
2014-06-05 23:00:00,0,7.5,0,0,2061.7,303.9,0,0,0,0,0,1199.2
2014-06-05 23:10:00,0,7.5,0,0,2132.4,303.6,0,1.4,0,0,0,1194.8
2014-06-05 23:20:00,0,8.1,0,0,1424.8,205.2,0,53.2,0,0,0,516.5
2014-06-05 23:30:00,0,7.4,0,0,2360,302.2,0,105.3,75.5,0,0,1191.3
2014-06-05 23:40:00,0,7.3,0,0,2514.9,304.1,0,107.4,0,264.3,0,1187.8
2014-06-05 23:50:00,0,7,0,0,2233.8,303.5,0,104.9,0,0,0,1185.6
2014-06-06 00:00:00,0,7.2,0,0,2148,303.9,0,19.1,0,0,0,1185.6
2014-06-06 00:10:00,0,63.8,0,0,2183.1,303.9,0,0.6,0,0,0,1181
2014-06-06 00:20:00,0,17.9,0,0,2294.4,304.8,0,6.9,152.9,0,0,1180.8
2014-06-06 00:30:00,0,7.1,0,0,2365.8,305.6,0,107,138.7,0,0,1175.3
2014-06-06 00:40:00,0,7.2,0,0,2191.6,305.8,0,57.5,0,0,0,1172.6
2014-06-06 00:50:00,0,7.2,0,0,2150.7,306.1,0,0,0,0,0,1169.4
2014-06-06 01:00:00,0,77.6,0,0,2151.8,306.5,0,0,0,0,0,1165.8
2014-06-06 01:10:00,0,12.4,0,0,1967.8,306,0,0,0,0,0,1160
2014-06-06 01:20:00,0,7.2,0,0,2034,305.5,0,89.7,0,0,0,1154.1
2014-06-06 01:30:00,0,39,0,0,2034.3,305.6,0,62.9,0,0,0,1146.2
2014-06-06 01:40:00,0,56.6,0,0,2049.7,305.2,0,0,0,0,0,1139.9
2014-06-06 01:50:00,0,7.1,0,0,2025.5,304.6,0,0,0,0,0,1132.8
2014-06-06 02:00:00,0,7,0,0,2023.5,304.9,0,6.6,0,0,0,1129.2
2014-06-06 02:10:00,0,7,0,0,1248.8,182.5,0,104.5,0,0,0,374.2
2014-06-06 02:20:00,0,7.1,0,0,1812.1,263.4,0,31.9,0,0,0,934.9
